Mgmt Area,Biome,Prescription,Total Area,% Harvest,Area / Year,Start ,End,,Total Area / Year,
10,MCON-PPINE,ThinOnly,4506,0,0,1,10,,Thinning,2315
11,MCON-PPINE,ThinOnly,3338,20,667.6,1,10,,Burning,8082.8
12,MCON-PPINE,ThinOnly,301,100,301,1,10,,,
13,MCON-PPINE,ThinOnly,5,100,5,1,10,,,
20,MCON-FIR,ThinOnly,3336,0,0,1,10,,,
21,MCON-FIR,ThinOnly,2778,20,555.6,1,10,,,
22,MCON-FIR,ThinOnly,607,100,607,1,10,,,
23,MCON-FIR,ThinOnly,45,100,45,1,10,,,
24,MCON-FIR,ThinOnly,1,100,1,1,10,,,
30,PPINE,ThinOnly,4026,0,0,1,10,,,
31,PPINE,ThinOnly,499,20,99.8,1,10,,,
32,PPINE,ThinOnly,32,100,32,1,10,,,
33,PPINE,ThinOnly,1,100,1,1,10,,,
10,MCON-PPINE,RxFireMCON-Pine,4506,20,901.2,10,100,,,
11,MCON-PPINE,RxFireMCON-Pine,3338,20,667.6,10,100,,,
12,MCON-PPINE,RxFireMCON-Pine,301,100,301,10,100,,,
13,MCON-PPINE,RxFireMCON-Pine,5,100,5,10,100,,,
20,MCON-FIR,RxFireMCON-Fir,3336,20,667.2,10,100,,,
21,MCON-FIR,RxFireMCON-Fir,2778,20,555.6,10,100,,,
22,MCON-FIR,RxFireMCON-Fir,607,20,121.4,10,100,,,
23,MCON-FIR,RxFireMCON-Fir,45,100,45,10,100,,,
24,MCON-FIR,RxFireMCON-Fir,1,100,1,10,100,,,
30,PPINE,RxFirePPINE,4026,20,805.2,10,100,,,
31,PPINE,RxFirePPINE,499,20,99.8,10,100,,,
32,PPINE,RxFirePPINE,32,100,32,10,100,,,
33,PPINE,RxFirePPINE,1,100,1,10,100,,,
40,Red Fir,RxFireRedFir,2916,20,583.2,1,100,,,
41,Red Fir,RxFireRedFir,1248,20,249.6,1,100,,,
42,Red Fir,RxFireRedFir,31,100,31,1,100,,,
43,Red Fir,RxFireRedFir,2,100,2,1,100,,,
110,MCON-PPINE,RxFireMCON-Pine,1490,20,298,1,100,,,
111,MCON-PPINE,RxFireMCON-Pine,1082,20,216.4,10,100,,,
112,MCON-PPINE,RxFireMCON-Pine,1343,20,268.6,10,100,,,
113,MCON-PPINE,RxFireMCON-Pine,405,100,405,10,100,,,
114,MCON-PPINE,RxFireMCON-Pine,4,100,4,10,100,,,
120,MCON-FIR,RxFireMCON-Fir,403,20,80.6,1,100,,,
121,MCON-FIR,RxFireMCON-Fir,749,20,149.8,10,100,,,
122,MCON-FIR,RxFireMCON-Fir,820,20,164,10,100,,,
123,MCON-FIR,RxFireMCON-Fir,340,100,340,10,100,,,
124,MCON-FIR,RxFireMCON-Fir,8,100,8,10,100,,,
130,PPINE,RxFirePPINE,1798,20,359.6,1,100,,,
131,PPINE,RxFirePPINE,952,20,190.4,10,100,,,
132,PPINE,RxFirePPINE,189,20,37.8,10,100,,,
133,PPINE,RxFirePPINE,10,100,10,10,100,,,
134,PPINE,RxFirePPINE,1,100,1,10,100,,,
140,Red Fir,RxFireMCON-Fir,280,20,56,1,100,,,
141,Red Fir,RxFireMCON-Fir,855,20,171,1,100,,,
142,Red Fir,RxFireMCON-Fir,419,20,83.8,1,100,,,
143,Red Fir,RxFireMCON-Fir,147,100,147,1,100,,,
144,Red Fir,RxFireMCON-Fir,23,100,23,1,100,,,
